identifier,hierarcylevel,type,prefLabel,altLabel,translation,description,parent,related,source,creator,closeMatch,relatedMatch,seeAlso
B51DAF,4,Q2,Material,Objektmaterial,,Material aus dem das Objekt besteht.,GD172G,,,LEIZA,"http://terminology.lido-schema.org/lido00132
http://vocab.getty.edu/page/aat/300010358 ",https://www.wikidata.org/wiki/Q16829513,
B5DD1A,5,Q2,Metall,Metalle,metal@en|métal@fr,"chemisches Element, das durch eine gute elektrische und thermische Leitfähigkeit, einen typischen Glanz sowie gute Formbarkeit mit spanlosen oder spangebenden Methoden gekennzeichnet ist. Die typischen metallischen Eigenschaften ergeben sich aus der charakteristischen Gitterstruktur des Atomaufbaus. Metalle werden bereits seit Jahrhunderten von Menschen systematisch gewonnen, bearbeitet und für Werkzeuge, Schmuck, Waffen und andere Zwecke verwendet. Sie spielen eine zentrale Rolle in der technologischen und kulturellen Entwicklung der Menschheit.",B51DAF,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 11, 18 - 21.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S.17.",LEIZA,"http://vocab.getty.edu/page/aat/300010900
https://cameo.mfa.org/wiki/Metal
https://d-nb.info/gnd/4038860-8 ",http://www.wikidata.org/entity/Q11426,
F7D3DB,6,Q2,reines Metall,Reinmetall,,"Metall, welches nahezu ausschließlich aus einer Atomart besteht und nur sehr geringe Mengen an anderen Elementen enthält. Jedes Reinmetall besitzt charakteristische physikalische und chemische Eigenschaften, wie eine spezifische Dichte, Härte, Schmelztemperatur und chemische Aktivität, das es von anderen Metallen unterscheidet. ",B5DD1A,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 21",LEIZA,,,
FGA46A,7,Q2,Edelmetall,Edelmetalle,nobel metal@en,"korrosionsbeständiges Metall, das aufgrund seiner chemischen und physikalischen Eigenschaften und ästhetischen Qualitäten hochgeschätzt wird. ",F7D3DB,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000). S.26.| DIN EN ISO 2080:2022-06, Metallische und andere anorganische Überzüge - Oberflächenbehandlung, metallische und andere anorganische Überzüge - Wörterbuch (ISO 2080:2022); Deutsche und Englische Fassung EN ISO 2080:2022, Deutsches Institut für Normung. ",LEIZA,"https://www.wikidata.org/wiki/Q585302
http://vocab.getty.edu/page/aat/300241621
http://d-nb.info/gnd/4013531-7 ",,
FD5149,8,Q2,Gold,,gold@en,"gelbes Metall mit dem chemischen Symbol Au und der Ordnungszahl 79. Gehört zu den ersten Metallen, die in der frühen Menschheitsgeschichte verarbeitet wurden. Aufgrund seiner Seltenheit, der guten Bearbeitbarkeit sowie der schönen Farbe und dem auffälligen Glanz wird Gold seit Jahrtausenden für Schmuck und Prestigeobjekte verwendet. Durch die hohe Korrosionsbeständigkeit sind an Goldobjekten kaum materialbezogene, konservatorische Maßnahmen notwendig.",FGA46A,DC5B2B,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 26, 32.|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 30, 33 - 38.",LEIZA,"https://www.wikidata.org/wiki/Q897
https://cameo.mfa.org/wiki/Gold
http://vocab.getty.edu/page/aat/300011021
http://d-nb.info/gnd/4157819-3 ",,
F135A8,8,Q2,Silber,,silver@en,"weißlich-graues Metall mit dem chemischen Symbol Ag und der Ordnungszahl 47. Gehört, ebenso wie Gold und Kupfer, zu den ersten Metallen die von den Menschen verarbeitet wurde. Silber wurde als edler metallischer Werkstoff aufgrund seiner guten Verarbeitbarkeit, hohen Korrosionsbeständigkeit im Vergleich zu anderen Metallen und seiner reinen warm-glänzenden Erscheinung seit der Antike für Münzen, Schmuck und zeremonielle Gegenstände genutzt. Im Vergleich zu Gold war Silber überdies häufiger verfügbar. Als Edelmetall ist es relativ beständig gegen Korrosion, wird jedoch von Luftsauerstoff, Schwefel und chloridhaltigen Lösungen (z.B. in stark chloridhaltigen Böden) unter Bildung von Silberoxid, Silbersulfid und/oder Silberchlorid angegriffen. ",FGA46A,AD789F,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 28, 32.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 53, 55 - 59.",LEIZA,"https://www.wikidata.org/wiki/Q1090
http://vocab.getty.edu/page/aat/300011029
http://d-nb.info/gnd/4133759-1 ",,
BBF566,7,Q2,Unedelmetall,unedles Metall| unedle Metalle,base metal@en,"Sammelbegriff für Metalle, mit negativem Normalpotenzial. Sie neigen, aufgrund ihres hohen Lösungsdrucks, unter Normalbedingungen zur chemischen Reaktion mit ihrer Umgebung. Objekte aus unedlen Metallen zeigen im archäologischen Kontext daher in der Regel mehr oder weniger starke Korrosionserscheinungen.",F7D3DB,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 26.| Charles E. Mortimer, Ulrich Müller, Chemie. Das Basiswissen der Chemie (Stuttgart 2007)9.",LEIZA,"https://www.wikidata.org/wiki/Q428855
http://vocab.getty.edu/page/aat/300241615
http://d-nb.info/gnd/4583082-4",,
F71C6B,8,Q2,Eisen,Fe,iron@en|fer@fr,"bläulich-gräuliches Metall mit dem chemischen Symbol Fe und der Ordnungszahl 26. Im archäologischen Kontext kommen in der Regel ausschließlich Eisen-Kohlenstoff-Legierungen vor, sodass reines Eisen kaum eine Rolle in der Restaurierung spielt. Eisen ist sehr unedel und neigt sowohl an der Luft, als auch bei der Bodenlagerung zu starken Korrosionsreaktionen.  ",BBF566,BC75G1,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.32/33| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 97/98.",LEIZA,"https://www.wikidata.org/wiki/Q677
http://vocab.getty.edu/page/aat/300011002
http://d-nb.info/gnd/4014002-7",,
GB5BGF,8,Q2,Buntmetall,,nonferrous metal@en,"Sammelbegriff für farbige Metalle, außer Eisen und Edelmetalle. Sie zeichnen sich durch ihre Farbvielfalt aus und wurden bereits seit der frühsten Menschheitsgeschichte für ihre spezifischen Eigenschaften wie Härte, Korrosionsbeständigkeit und elektrische Leitfähigkeit geschätzt. ",BBF566,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 17. ",LEIZA,,,
B28FA6,9,Q2,Kupfer,Cu|reines Kupfer,copper@en,"rot-bräunliches Metall mit dem chemischen Symbol Cu und der Ordnungszahl 29. Kupfer war wohl das erstes Metall, dass von den Menschen gezielt hergestellt und verarbeitet wurde. Kupfer ist in feuchter, verunreinigter Luft, sowie in chloridbelasteten Böden recht korrossionsanfällig. Mit den Bestandteilen der Luft (u.a. Schwefel- oder Carbonatverbindungen) bildet es eine Patina, die als Schutzschicht für das darunterliegende Metall gegenüber weiterem Korrosionsangriff dient. Diese Patina kann dem Objekt unter umständen ein recht ästhetisches Erscheinungsbild verleihen (sog. ""Edelpatina""). ",GB5BGF,FGB415|GC4CA7,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S.28/29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 83 - 85.",LEIZA,"http://vocab.getty.edu/page/aat/300011020 
https://www.wikidata.org/wiki/Q753
http://d-nb.info/gnd/4033734-0",,
G992B6,9,Q2,Blei,,lead@en,"sehr weiches Metall, von bläulich-gräulicher Farbe mit dem chemischen Symbol Pb und der Ordnungszahl 82. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glasuren sowie Legierungen mit anderen Metallen verwendet. Blei läuft an der Luft unter Bildung einer passivierenden Oxidschicht an und ist auch bei Kontak mit Wasser oder Säuren stark korrosionsanfällig. ",GB5BGF,F387GB,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 81/82.",LEIZA,"http://vocab.getty.edu/page/aat/300011022
https://cameo.mfa.org/wiki/Lead",,
G8AG1C,9,Q2,Zink,,zinc@en,bläulich-weißes Metall mit dem chemischen Symbol Zn und der Ordnungszahl 30. Zink wurde in der Antike hauptsächlich als Erz bei der Kupferverhüttung bzw. -legierung verarbeitet. Erst im späten Mittelalter wird Zink gezielt als reines Metall hergestellt.  ,GB5BGF,F15DFD,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 92/93.",LEIZA,"http://vocab.getty.edu/page/aat/300011037
https://cameo.mfa.org/wiki/Zinc",,
G78BD6,9,Q2,Zinn,,tin@en,"silberweißes, sehr weiches Metall mit dem chemischen Symbol Sn und der Ordnungszahl 50. Zinn wird hauptsächlich als Legierungsbestandteil (z.B. für (Zinn-)Bronze oder in Weichloten) verwendet, aber auch als reines Metall für die Herstellung von Geschirr und kleinen Kulturobjekten. Gegenüber Luftsauerstoff ist es weitgehend beständig, wird jedoch von Säuren (v.a. Salpetersäure) stark angegriffen. Bei der Lagerung von Zinnobjekten unterhalb 13°C tritt das Phänomen der sog. ""Zinnpest"" auf, bei der sich das stabile Zinn in α-Zinn umwandelt, was sich in Form von Flecken und Pusteln bemerktbar macht und schleichend zur vollständigen Verstörung des Zinnobjektes führt.",GB5BGF,G6A358|CFC44A,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 80/81.",LEIZA,"http://vocab.getty.edu/page/aat/300133748
https://www.wikidata.org/wiki/Q1096
https://cameo.mfa.org/wiki/Tin",,
F9GB13,6,Q2,Metalllegierung,Legierung,metal alloy@en,"Gemenge aus mindestens zwei verschiedenen chemischen Elementen, wobei eines davon ein Metall ist. Durch das gezielte Zusammenschmelzen von Metallen werden Legierungen mit spezifischen Eigenschaften wie verbesserte Festigkeit, Korrosionsbeständigkeit oder Verarbeitbarkeit hergestellt. Im festen/abgekühlten Zustand können diese Legierungsbestandteile nicht ohne weiteres mit physikalischen Methoden getrennt werden. Benannt werden Legierungen nach dem mengenmäßig überwiegend enthaltenen Metall. ",B5DD1A,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 28.| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 42.",LEIZA,http://vocab.getty.edu/page/aat/300010902,,
G4AG5C,7,Q2,Edelmetalllegierung,,,"Legierung, bei dem der Hauptbestandteil ein Edelmetall ist. ",F9GB13,FGA46A,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 42.",LEIZA,,,
DC5B2B,8,Q2,Goldlegierung,Goldlegierungen,gold alloy@en,"Legierung mit Gold als Hauptbestandteil. Da reines Gold relativ weich ist, wird es zur Verbesserung der Härte und Beständigkeit mit anderen Metallen (hauptsächlich Kupfer und Silber) legiert. Kongruent zu reinen Goldobjekten sind auch an Objekten aus Goldlegierungen kaum materialbedingte konservatorische Maßnahmen notwendig. Je nach Höhe des Anteils an unedleren Bestandteilen kann es jedoch zu oberflächlicher Verfärbung kommen.",G4AG5C,FD5149,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 56-74.|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 38/39.",LEIZA,"https://www.wikidata.org/wiki/Q37136268
http://vocab.getty.edu/page/aat/300010963
http://d-nb.info/gnd/4157867-3 ",,
AD789F,8,Q2,Silberlegierung,Silberlegierungen,silver alloy@en,"Legierung mit Silber als Hauptbestandteil. Reines Silber ist für viele Anwendungsbereiche zu weich, sodass es häufig mit anderen Metallen (vor allem Kupfer) legiert wird. Neben den Korrosionserscheinungen des reinen Silbers treten in Legierungssystemen weitere Korrosionen auf. So kann sich z.B. bei kupferhaltigen Silberlegierungen Kupfer-I-oxid und Kupfersulfid bilden.",G4AG5C,F135A8,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).",LEIZA,"https://www.wikidata.org/wiki/Q52895784
http://vocab.getty.edu/page/aat/300010975
http://d-nb.info/gnd/4181330-3",,
